Time(sec)	CellId	BwpId	txStreamId 	IMSI	rxStreamId	pathLoss(dB)
0.439071	1	0	0	1	0	-123.879
0.44	1	0	0	1	0	-123.879
0.440071	1	0	0	1	0	-123.879
0.441	1	0	0	1	0	-123.879
0.441071	1	0	0	1	0	-123.879
0.442	1	0	0	1	0	-123.879
0.442071	1	0	0	1	0	-123.879
0.443	1	0	0	1	0	-123.879
0.443071	1	0	0	1	0	-123.879
0.443071	1	0	1	1	1	-123.879
0.444	1	0	0	1	0	-123.879
0.444071	1	0	0	1	0	-123.879
0.444071	1	0	1	1	1	-123.879
0.445	1	0	0	1	0	-123.879
0.445071	1	0	0	1	0	-123.879
0.445071	1	0	1	1	1	-123.879
0.446	1	0	0	1	0	-123.879
0.446071	1	0	0	1	0	-123.879
0.446071	1	0	1	1	1	-123.879
0.447	1	0	0	1	0	-123.879
0.447071	1	0	0	1	0	-123.879
0.447071	1	0	1	1	1	-123.879
0.448	1	0	0	1	0	-123.879
0.448071	1	0	0	1	0	-123.879
0.449	1	0	0	1	0	-123.879
0.449071	1	0	0	1	0	-123.879
0.45	1	0	0	1	0	-123.879
0.450071	1	0	0	1	0	-123.879
0.451	1	0	0	1	0	-123.879
0.451071	1	0	0	1	0	-123.879
0.452	1	0	0	1	0	-123.879
0.452071	1	0	0	1	0	-123.879
0.453	1	0	0	1	0	-123.879
0.453071	1	0	0	1	0	-123.879
0.454	1	0	0	1	0	-123.879
0.454071	1	0	0	1	0	-123.879
0.455	1	0	0	1	0	-123.879
0.455071	1	0	0	1	0	-123.879
0.456	1	0	0	1	0	-123.879
0.456071	1	0	0	1	0	-123.879
0.457	1	0	0	1	0	-123.879
0.457071	1	0	0	1	0	-123.879
0.458	1	0	0	1	0	-123.879
0.458071	1	0	0	1	0	-123.879
0.459	1	0	0	1	0	-123.879
0.459071	1	0	0	1	0	-123.879
0.46	1	0	0	1	0	-123.879
0.460071	1	0	0	1	0	-123.879
0.461	1	0	0	1	0	-123.879
0.461071	1	0	0	1	0	-123.879
0.462	1	0	0	1	0	-123.879
0.462071	1	0	0	1	0	-123.879
0.463	1	0	0	1	0	-123.879
0.463071	1	0	0	1	0	-123.879
0.463071	1	0	1	1	1	-123.879
0.464	1	0	0	1	0	-123.879
0.464071	1	0	0	1	0	-123.879
0.464071	1	0	1	1	1	-123.879
0.465	1	0	0	1	0	-123.879
0.465071	1	0	0	1	0	-123.879
0.465071	1	0	1	1	1	-123.879
0.466	1	0	0	1	0	-123.879
0.466071	1	0	0	1	0	-123.879
0.466071	1	0	1	1	1	-123.879
0.467	1	0	0	1	0	-123.879
0.467071	1	0	0	1	0	-123.879
0.467071	1	0	1	1	1	-123.879
0.468	1	0	0	1	0	-123.879
0.468071	1	0	0	1	0	-123.879
0.469	1	0	0	1	0	-123.879
0.469071	1	0	0	1	0	-123.879
0.47	1	0	0	1	0	-123.879
0.470071	1	0	0	1	0	-123.879
0.471	1	0	0	1	0	-123.879
0.471071	1	0	0	1	0	-123.879
