Time(sec)	CellId	BwpId	txStreamId 	IMSI	rxStreamId	pathLoss(dB)
0.549929	1	0	0	1	0	-123.879
0.550929	1	0	0	1	0	-123.879
0.551929	1	0	0	1	0	-123.879
0.552929	1	0	0	1	0	-123.879
0.553929	1	0	0	1	0	-123.879
0.554929	1	0	0	1	0	-123.879
0.555929	1	0	0	1	0	-123.879
0.556929	1	0	0	1	0	-123.879
0.557929	1	0	0	1	0	-123.879
0.558857	1	0	0	1	0	-123.879
0.558857	1	0	1	1	1	-123.879
0.558929	1	0	0	1	0	-123.879
0.559929	1	0	0	1	0	-123.879
0.560929	1	0	0	1	0	-123.879
0.561929	1	0	0	1	0	-123.879
0.562929	1	0	0	1	0	-123.879
0.563929	1	0	0	1	0	-123.879
0.564929	1	0	0	1	0	-123.879
0.565929	1	0	0	1	0	-123.879
0.566929	1	0	0	1	0	-123.879
0.567929	1	0	0	1	0	-123.879
0.568929	1	0	0	1	0	-123.879
0.569929	1	0	0	1	0	-123.879
0.570929	1	0	0	1	0	-123.879
0.571929	1	0	0	1	0	-123.879
0.572929	1	0	0	1	0	-123.879
0.573929	1	0	0	1	0	-123.879
0.574929	1	0	0	1	0	-123.879
0.575929	1	0	0	1	0	-123.879
0.576929	1	0	0	1	0	-123.879
0.577929	1	0	0	1	0	-123.879
0.578929	1	0	0	1	0	-123.879
0.579929	1	0	0	1	0	-123.879
0.580929	1	0	0	1	0	-123.879
0.581929	1	0	0	1	0	-123.879
0.582929	1	0	0	1	0	-123.879
0.583929	1	0	0	1	0	-123.879
0.584929	1	0	0	1	0	-123.879
0.585929	1	0	0	1	0	-123.879
0.586929	1	0	0	1	0	-123.879
0.587929	1	0	0	1	0	-123.879
0.588929	1	0	0	1	0	-123.879
0.589929	1	0	0	1	0	-123.879
0.590929	1	0	0	1	0	-123.879
0.591929	1	0	0	1	0	-123.879
0.592929	1	0	0	1	0	-123.879
0.593929	1	0	0	1	0	-123.879
0.594929	1	0	0	1	0	-123.879
0.595929	1	0	0	1	0	-123.879
0.596929	1	0	0	1	0	-123.879
0.597929	1	0	0	1	0	-123.879
0.598929	1	0	0	1	0	-123.879
0.599929	1	0	0	1	0	-123.879
0.600929	1	0	0	1	0	-123.879
0.601929	1	0	0	1	0	-123.879
0.602929	1	0	0	1	0	-123.879
0.603929	1	0	0	1	0	-123.879
0.604929	1	0	0	1	0	-123.879
0.605929	1	0	0	1	0	-123.879
0.606929	1	0	0	1	0	-123.879
0.607929	1	0	0	1	0	-123.879
0.608929	1	0	0	1	0	-123.879
0.609929	1	0	0	1	0	-123.879
0.610929	1	0	0	1	0	-123.879
0.611929	1	0	0	1	0	-123.879
0.612929	1	0	0	1	0	-123.879
0.613929	1	0	0	1	0	-123.879
0.614929	1	0	0	1	0	-123.879
0.615929	1	0	0	1	0	-123.879
0.616929	1	0	0	1	0	-103.375
0.617929	1	0	0	1	0	-103.375
0.618929	1	0	0	1	0	-103.375
0.619929	1	0	0	1	0	-103.375
0.620929	1	0	0	1	0	-103.375
0.621929	1	0	0	1	0	-103.375
0.622929	1	0	0	1	0	-103.375
0.623929	1	0	0	1	0	-103.375
0.624929	1	0	0	1	0	-103.375
0.625929	1	0	0	1	0	-103.375
0.626929	1	0	0	1	0	-103.375
0.627929	1	0	0	1	0	-103.375
0.628929	1	0	0	1	0	-103.375
0.629929	1	0	0	1	0	-103.375
0.630929	1	0	0	1	0	-103.375
0.631929	1	0	0	1	0	-103.375
0.632929	1	0	0	1	0	-103.375
0.633929	1	0	0	1	0	-103.375
0.634929	1	0	0	1	0	-103.375
0.635929	1	0	0	1	0	-103.375
0.636929	1	0	0	1	0	-103.375
0.637929	1	0	0	1	0	-103.375
0.638857	1	0	0	1	0	-103.375
0.638857	1	0	1	1	1	-103.375
0.638929	1	0	0	1	0	-103.375
0.639929	1	0	0	1	0	-103.375
0.640929	1	0	0	1	0	-103.375
0.641929	1	0	0	1	0	-103.375
0.642929	1	0	0	1	0	-103.375
0.643929	1	0	0	1	0	-103.375
0.644929	1	0	0	1	0	-103.375
0.645929	1	0	0	1	0	-103.375
0.646929	1	0	0	1	0	-103.375
0.647929	1	0	0	1	0	-103.375
0.648929	1	0	0	1	0	-103.375
0.649929	1	0	0	1	0	-103.375
0.650929	1	0	0	1	0	-103.375
0.651929	1	0	0	1	0	-103.375
0.652929	1	0	0	1	0	-103.375
0.653929	1	0	0	1	0	-103.375
0.654929	1	0	0	1	0	-103.375
0.655929	1	0	0	1	0	-103.375
0.656929	1	0	0	1	0	-103.375
0.657929	1	0	0	1	0	-103.375
0.658929	1	0	0	1	0	-103.375
0.659929	1	0	0	1	0	-103.375
0.660929	1	0	0	1	0	-103.375
0.661929	1	0	0	1	0	-103.375
0.662929	1	0	0	1	0	-103.375
0.663929	1	0	0	1	0	-103.375
0.664929	1	0	0	1	0	-103.375
0.665929	1	0	0	1	0	-103.375
0.666929	1	0	0	1	0	-103.375
