Time	CellId	RNTI	BWPId	StreamId	SINR(dB)
7.1427e-05	2	0	0	0	17.0358
0.00507143	2	0	0	0	17.2733
0.0100714	2	0	0	0	17.2733
0.0150714	2	0	0	0	17.2733
0.0200714	2	0	0	0	17.2733
0.0250714	2	1	0	0	17.2733
0.0300714	2	1	0	0	17.2733
0.0350714	2	1	0	0	17.2733
0.0400714	2	1	0	0	17.2733
0.0450714	2	1	0	0	17.2733
0.0500714	2	1	0	0	17.2733
0.0550714	2	1	0	0	17.2733
0.0600714	2	1	0	0	17.2733
0.0650714	2	1	0	0	17.2733
0.0700714	2	1	0	0	17.2733
0.0750714	2	1	0	0	17.2733
0.0760714	2	1	0	0	17.2733
0.0800714	2	1	0	0	17.2733
0.0850714	2	1	0	0	17.2733
0.0900714	2	1	0	0	17.2733
0.0950714	2	1	0	0	17.2733
0.100071	2	1	0	0	17.2733
0.105071	2	1	0	0	-4.20331
0.110071	2	1	0	0	-4.20331
0.115071	2	1	0	0	-4.20331
0.120071	2	1	0	0	-4.20331
0.125071	2	1	0	0	-4.20331
0.130071	2	1	0	0	-4.20331
0.135071	2	1	0	0	-4.20331
0.140071	2	1	0	0	-4.20331
0.145071	2	1	0	0	-4.20331
0.150071	2	1	0	0	-4.20331
0.155071	2	1	0	0	-4.20331
0.156071	2	1	0	0	-4.20331
0.160071	2	1	0	0	-4.20331
0.165071	2	1	0	0	-4.20331
0.170071	2	1	0	0	-4.20331
0.175071	2	1	0	0	-4.20331
0.180071	2	1	0	0	-4.20331
0.185071	2	1	0	0	-4.20331
0.190071	2	1	0	0	-4.20331
0.195071	2	1	0	0	-4.20331
0.200071	2	1	0	0	-4.20331
0.205071	2	1	0	0	-4.20331
0.210071	2	1	0	0	-3.23772
0.215071	2	1	0	0	-3.23772
0.220071	2	1	0	0	-3.23772
0.225071	2	1	0	0	-3.23772
0.230071	2	1	0	0	-3.23772
0.235071	2	1	0	0	-3.23772
0.236071	2	1	0	0	-3.23772
0.240071	2	1	0	0	-3.23772
0.245071	2	1	0	0	-3.23772
0.250071	2	1	0	0	-3.23772
0.255071	2	1	0	0	-3.23772
0.260071	2	1	0	0	-3.23772
0.265071	2	1	0	0	-3.23772
0.270071	2	1	0	0	-3.23772
0.275071	2	1	0	0	-3.23772
0.280071	2	1	0	0	-3.23772
0.285071	2	1	0	0	-3.23772
0.290071	2	1	0	0	-3.23772
0.295071	2	1	0	0	-3.23772
0.300071	2	1	0	0	-3.23772
0.305071	2	1	0	0	-3.23772
0.310071	2	1	0	0	-3.23772
0.315071	2	1	0	0	-3.5666
0.316071	2	1	0	0	-3.5666
0.320071	2	1	0	0	-3.5666
0.325071	2	1	0	0	-3.5666
0.330071	2	1	0	0	-3.5666
0.335071	2	1	0	0	-3.5666
0.340071	2	1	0	0	-3.5666
0.345071	2	1	0	0	-3.5666
0.350071	2	1	0	0	-3.5666
0.355071	2	1	0	0	-3.5666
0.360071	2	1	0	0	-3.5666
0.365071	2	1	0	0	-3.5666
0.370071	2	1	0	0	-3.5666
0.375071	2	1	0	0	-3.5666
0.380071	2	1	0	0	-3.5666
0.385071	2	1	0	0	-3.5666
0.390071	2	1	0	0	-3.5666
0.395071	2	1	0	0	-3.5666
0.396071	2	1	0	0	-3.5666
0.400071	2	1	0	0	-3.5666
0.403071	2	1	0	0	-3.5666
0.404071	2	1	0	0	-3.5666
0.405071	2	1	0	0	-3.5666
0.406071	2	1	0	0	-3.5666
0.407071	2	1	0	0	-3.5666
0.408071	2	1	0	0	-3.5666
0.409071	2	1	0	0	-3.5666
0.410071	2	1	0	0	-3.5666
0.411071	2	1	0	0	-3.5666
0.412071	2	1	0	0	-3.5666
0.413071	2	1	0	0	-3.5666
0.414071	2	1	0	0	-3.5666
0.415071	2	1	0	0	-3.5666
0.416071	2	1	0	0	-5.81768
0.417071	2	1	0	0	-5.81768
0.418071	2	1	0	0	-5.81768
0.419071	2	1	0	0	-5.81768
0.420071	2	1	0	0	-5.81768
0.421071	2	1	0	0	-5.81768
0.422071	2	1	0	0	-5.81768
0.423071	2	1	0	0	-5.81768
0.424071	2	1	0	0	-5.81768
0.425071	2	1	0	0	-5.81768
0.426071	2	1	0	0	-5.81768
0.427071	2	1	0	0	-5.81768
0.428071	2	1	0	0	-5.81768
0.429071	2	1	0	0	-5.81768
0.430071	2	1	0	0	-5.81768
0.431071	2	1	0	0	-5.81768
0.432071	2	1	0	0	-5.81768
0.433071	2	1	0	0	-5.81768
0.434071	2	1	0	0	-5.81768
0.435071	2	1	0	0	-5.81768
0.436071	2	1	0	0	-5.81768
0.437071	2	1	0	0	-5.81768
0.438071	2	1	0	0	-5.81768
0.439071	2	1	0	0	-5.81768
0.440071	2	1	0	0	-5.81768
0.441071	2	1	0	0	-5.81768
0.442071	2	1	0	0	-5.81768
0.443071	2	1	0	0	-5.81768
0.444071	2	1	0	0	-5.81768
0.445071	2	1	0	0	-5.81768
0.446071	2	1	0	0	-5.81768
0.447071	2	1	0	0	-5.81768
0.448071	2	1	0	0	-5.81768
0.449071	2	1	0	0	-5.81768
0.450071	2	1	0	0	-5.81768
0.451071	2	1	0	0	-5.81768
0.452071	2	1	0	0	-5.81768
0.453071	2	1	0	0	-5.81768
0.454071	2	1	0	0	-5.81768
0.455071	2	1	0	0	-5.81768
0.456071	2	1	0	0	-5.81768
0.457071	2	1	0	0	-5.81768
0.458071	2	1	0	0	-5.81768
0.459071	2	1	0	0	-5.81768
0.460071	2	1	0	0	-5.81768
0.461071	2	1	0	0	-5.81768
0.462071	2	1	0	0	-5.81768
0.463071	2	1	0	0	-5.81768
0.464071	2	1	0	0	-5.81768
0.465071	2	1	0	0	-5.81768
0.466071	2	1	0	0	-5.81768
0.467071	2	1	0	0	-5.81768
0.468071	2	1	0	0	-5.81768
0.469071	2	1	0	0	-5.81768
0.470071	2	1	0	0	-5.81768
0.471071	2	1	0	0	-5.81768
0.472071	2	1	0	0	-5.81768
0.473071	2	1	0	0	-5.81768
0.474071	2	1	0	0	-5.81768
0.475071	2	1	0	0	-5.81768
0.476071	2	1	0	0	-5.81768
0.477071	2	1	0	0	-5.81768
0.478071	2	1	0	0	-5.81768
0.479071	2	1	0	0	-5.81768
0.480071	2	1	0	0	-5.81768
0.481071	2	1	0	0	-5.81768
0.482071	2	1	0	0	-5.81768
0.483071	2	1	0	0	-5.81768
0.484071	2	1	0	0	-5.81768
0.485071	2	1	0	0	-5.81768
0.486071	2	1	0	0	-5.81768
0.487071	2	1	0	0	-5.81768
0.488071	2	1	0	0	-5.81768
0.489071	2	1	0	0	-5.81768
0.490071	2	1	0	0	-5.81768
0.491071	2	1	0	0	-5.81768
0.492071	2	1	0	0	-5.81768
0.493071	2	1	0	0	-5.81768
0.494071	2	1	0	0	-5.81768
0.495071	2	1	0	0	-5.81768
0.496071	2	1	0	0	-5.81768
0.497071	2	1	0	0	-5.81768
0.498071	2	1	0	0	-5.81768
0.499071	2	1	0	0	-5.81768
0.500071	2	1	0	0	-5.81768
0.501071	2	1	0	0	-5.81768
0.502071	2	1	0	0	-5.81768
0.503071	2	1	0	0	-5.81768
0.504071	2	1	0	0	-5.81768
0.505071	2	1	0	0	-5.81768
0.506071	2	1	0	0	-5.81768
0.507071	2	1	0	0	-5.81768
0.508071	2	1	0	0	-5.81768
0.509071	2	1	0	0	-5.81768
0.510071	2	1	0	0	-5.81768
0.511071	2	1	0	0	-5.81768
0.512071	2	1	0	0	-5.81768
0.513071	2	1	0	0	-5.81768
0.514071	2	1	0	0	-5.81768
0.515071	2	1	0	0	-5.81768
0.516071	2	1	0	0	-8.02656
0.517071	2	1	0	0	-8.02656
0.518071	2	1	0	0	-8.02656
0.519071	2	1	0	0	-8.02656
0.520071	2	1	0	0	-8.02656
0.521071	2	1	0	0	-8.02656
0.522071	2	1	0	0	-8.02656
0.523071	2	1	0	0	-8.02656
0.524071	2	1	0	0	-8.02656
0.525071	2	1	0	0	-8.02656
0.526071	2	1	0	0	-8.02656
0.527071	2	1	0	0	-8.02656
0.528071	2	1	0	0	-8.02656
0.529071	2	1	0	0	-8.02656
0.530071	2	1	0	0	-8.02656
0.531071	2	1	0	0	-8.02656
0.532071	2	1	0	0	-8.02656
0.533071	2	1	0	0	-8.02656
0.534071	2	1	0	0	-8.02656
0.535071	2	1	0	0	-8.02656
0.536071	2	1	0	0	-8.02656
0.537071	2	1	0	0	-8.02656
0.538071	2	1	0	0	-8.02656
0.539071	2	1	0	0	-8.02656
0.540071	2	1	0	0	-8.02656
0.541071	2	1	0	0	-8.02656
0.542071	2	1	0	0	-8.02656
0.543071	2	1	0	0	-8.02656
0.544071	2	1	0	0	-8.02656
0.545071	2	1	0	0	-8.02656
0.546071	2	1	0	0	-8.02656
