time(s)	cellId	rnti	lcid	packetSize
0.796	2	1	4	7618
0.796	2	1	4	7618
0.797	2	1	4	8309
0.797	2	1	4	8309
0.8	2	1	4	8309
0.8	2	1	4	8309
0.803	2	1	4	8309
0.803	2	1	4	8309
0.814	2	1	4	8309
0.814	2	1	4	8309
0.816	2	1	4	8309
0.816	2	1	4	8309
0.817	2	1	4	8309
0.817	2	1	4	8309
0.82	2	1	4	8309
0.82	2	1	4	8309
0.823	2	1	4	8309
0.823	2	1	4	8309
0.834	2	1	4	8309
0.834	2	1	4	8309
0.836	2	1	4	8309
0.836	2	1	4	8309
0.837	2	1	4	8309
0.837	2	1	4	8309
0.84	2	1	4	8309
0.84	2	1	4	8309
0.843	2	1	4	8309
0.843	2	1	4	8309
0.854	2	1	4	8309
0.854	2	1	4	8309
0.856	2	1	4	8309
0.856	2	1	4	8309
0.857	2	1	4	8309
0.857	2	1	4	8309
0.86	2	1	4	8309
0.86	2	1	4	8309
0.863	2	1	4	8309
0.863	2	1	4	8309
0.874	2	1	4	8309
0.874	2	1	4	8309
0.876	2	1	4	7618
0.876	2	1	4	7618
0.877	2	1	4	8309
0.877	2	1	4	8309
0.88	2	1	4	8309
0.88	2	1	4	8309
0.883	2	1	4	8309
0.883	2	1	4	8309
0.894	2	1	4	8309
0.894	2	1	4	8309
0.896	2	1	4	8309
0.896	2	1	4	8309
0.897	2	1	4	8309
0.897	2	1	4	8309
0.9	2	1	4	8309
0.9	2	1	4	8309
0.903	2	1	4	8309
0.903	2	1	4	8309
0.914	2	1	4	8309
0.914	2	1	4	8309
0.916	2	1	4	8309
0.916	2	1	4	8309
0.917	2	1	4	8309
0.917	2	1	4	8309
0.92	2	1	4	8309
0.92	2	1	4	8309
0.923	2	1	4	8309
0.923	2	1	4	8309
0.934	2	1	4	8309
0.934	2	1	4	8309
0.936	2	1	4	8309
0.936	2	1	4	8309
0.937	2	1	4	8309
0.937	2	1	4	8309
0.94	2	1	4	8309
0.94	2	1	4	8309
0.943	2	1	4	8309
0.943	2	1	4	8309
0.954	2	1	4	8309
0.954	2	1	4	8309
0.956	2	1	4	7618
0.956	2	1	4	7618
0.957	2	1	4	8309
0.957	2	1	4	8309
0.96	2	1	4	8309
0.96	2	1	4	8309
0.963	2	1	4	8309
0.963	2	1	4	8309
0.974	2	1	4	8309
0.974	2	1	4	8309
0.976	2	1	4	8309
0.976	2	1	4	8309
0.977	2	1	4	8309
0.977	2	1	4	8309
0.98	2	1	4	8309
0.98	2	1	4	8309
0.983	2	1	4	8309
0.983	2	1	4	8309
0.994	2	1	4	8309
0.994	2	1	4	8309
0.996	2	1	4	8309
0.996	2	1	4	8309
0.997	2	1	4	8309
0.997	2	1	4	8309
1	2	1	4	8309
1	2	1	4	8309
1.003	2	1	4	8309
1.003	2	1	4	8309
1.014	2	1	4	8309
1.014	2	1	4	8309
1.016	2	1	4	8309
1.016	2	1	4	8309
1.017	2	1	4	8309
1.017	2	1	4	8309
1.02	2	1	4	8309
1.02	2	1	4	8309
1.023	2	1	4	8309
1.023	2	1	4	8309
1.034	2	1	4	8309
1.034	2	1	4	8309
1.036	2	1	4	7618
1.036	2	1	4	7618
1.037	2	1	4	8309
1.037	2	1	4	8309
1.04	2	1	4	8309
1.04	2	1	4	8309
1.043	2	1	4	8309
1.043	2	1	4	8309
1.054	2	1	4	8309
1.054	2	1	4	8309
1.056	2	1	4	8309
1.056	2	1	4	8309
1.057	2	1	4	8309
1.057	2	1	4	8309
1.06	2	1	4	8309
1.06	2	1	4	8309
1.063	2	1	4	8309
1.063	2	1	4	8309
1.074	2	1	4	8309
1.074	2	1	4	8309
1.076	2	1	4	8309
1.076	2	1	4	8309
1.077	2	1	4	8309
1.077	2	1	4	8309
1.08	2	1	4	8309
1.08	2	1	4	8309
1.083	2	1	4	8309
1.083	2	1	4	8309
1.094	2	1	4	8309
1.094	2	1	4	8309
1.096	2	1	4	8309
1.096	2	1	4	8309
1.097	2	1	4	8309
1.097	2	1	4	8309
1.1	2	1	4	8309
1.1	2	1	4	8309
1.103	2	1	4	8309
1.103	2	1	4	8309
1.114	2	1	4	8309
1.114	2	1	4	8309
1.116	2	1	4	7618
1.116	2	1	4	7618
1.117	2	1	4	8309
1.117	2	1	4	8309
1.12	2	1	4	8309
1.12	2	1	4	8309
1.123	2	1	4	8309
1.123	2	1	4	8309
1.134	2	1	4	8309
1.134	2	1	4	8309
1.136	2	1	4	8309
1.136	2	1	4	8309
1.137	2	1	4	8309
1.137	2	1	4	8309
1.14	2	1	4	8309
1.14	2	1	4	8309
1.143	2	1	4	8309
