Time	CellId	RNTI	BWPId	StreamId	SINR(dB)
0.403929	2	1	0	0	11.6185
0.404929	2	1	0	0	11.6185
0.405929	2	1	0	0	11.6185
0.406929	2	1	0	0	11.6185
0.407929	2	1	0	0	11.6185
0.408929	2	1	0	0	11.6185
0.409929	2	1	0	0	11.6185
0.410929	2	1	0	0	11.6185
0.411929	2	1	0	0	11.6185
0.412929	2	1	0	0	11.6185
0.413929	2	1	0	0	11.6185
0.414929	2	1	0	0	11.6185
0.415929	2	1	0	0	9.36746
0.416929	2	1	0	0	9.36746
0.417929	2	1	0	0	9.36746
0.418929	2	1	0	0	9.36746
0.419929	2	1	0	0	9.36746
0.420929	2	1	0	0	9.36746
0.421929	2	1	0	0	9.36746
0.422929	2	1	0	0	9.36746
0.423929	2	1	0	0	6.35716
0.423929	2	1	0	1	6.76196
0.424929	2	1	0	0	6.35716
0.424929	2	1	0	1	6.76196
0.425929	2	1	0	0	6.35716
0.425929	2	1	0	1	6.76196
0.426929	2	1	0	0	6.35716
0.426929	2	1	0	1	6.76196
0.427929	2	1	0	0	6.35716
0.427929	2	1	0	1	6.76196
0.428929	2	1	0	0	9.36746
0.429929	2	1	0	0	9.36746
0.430929	2	1	0	0	9.36746
0.431929	2	1	0	0	9.36746
0.432929	2	1	0	0	9.36746
0.433929	2	1	0	0	9.36746
0.434929	2	1	0	0	9.36746
0.435929	2	1	0	0	9.36746
0.436929	2	1	0	0	9.36746
0.437929	2	1	0	0	9.36746
0.438929	2	1	0	0	9.36746
0.439929	2	1	0	0	9.36746
0.440929	2	1	0	0	9.36746
0.441929	2	1	0	0	9.36746
0.442929	2	1	0	0	9.36746
0.443929	2	1	0	0	6.35716
0.443929	2	1	0	1	6.76196
0.444929	2	1	0	0	6.35716
0.444929	2	1	0	1	6.76196
0.445929	2	1	0	0	6.35716
0.445929	2	1	0	1	6.76196
0.446929	2	1	0	0	6.35716
0.446929	2	1	0	1	6.76196
0.447929	2	1	0	0	6.35716
0.447929	2	1	0	1	6.76196
0.448929	2	1	0	0	9.36746
0.449929	2	1	0	0	9.36746
0.450929	2	1	0	0	9.36746
0.451929	2	1	0	0	9.36746
0.452929	2	1	0	0	9.36746
0.453929	2	1	0	0	9.36746
0.454929	2	1	0	0	9.36746
0.455929	2	1	0	0	9.36746
0.456929	2	1	0	0	9.36746
0.457929	2	1	0	0	9.36746
0.458929	2	1	0	0	9.36746
0.459929	2	1	0	0	9.36746
0.460929	2	1	0	0	9.36746
0.461929	2	1	0	0	9.36746
0.462929	2	1	0	0	9.36746
0.463929	2	1	0	0	6.35716
0.463929	2	1	0	1	6.76196
0.464929	2	1	0	0	6.35716
0.464929	2	1	0	1	6.76196
0.465929	2	1	0	0	6.35716
0.465929	2	1	0	1	6.76196
0.466929	2	1	0	0	6.35716
0.466929	2	1	0	1	6.76196
0.467929	2	1	0	0	6.35716
0.467929	2	1	0	1	6.76196
0.468929	2	1	0	0	9.36746
0.469929	2	1	0	0	9.36746
0.470929	2	1	0	0	9.36746
0.471929	2	1	0	0	9.36746
0.472929	2	1	0	0	9.36746
0.473929	2	1	0	0	9.36746
0.474929	2	1	0	0	9.36746
0.475929	2	1	0	0	9.36746
0.476929	2	1	0	0	9.36746
0.477929	2	1	0	0	9.36746
0.478857	2	1	0	0	6.35716
0.478857	2	1	0	1	6.76196
0.479929	2	1	0	0	9.36746
0.480929	2	1	0	0	9.36746
0.481929	2	1	0	0	9.36746
0.482929	2	1	0	0	9.36746
0.483929	2	1	0	0	9.36746
0.484929	2	1	0	0	9.38732
0.485929	2	1	0	0	6.35716
0.485929	2	1	0	1	6.76196
0.486929	2	1	0	0	6.35716
0.486929	2	1	0	1	6.76196
0.487929	2	1	0	0	6.35716
0.487929	2	1	0	1	6.76196
0.488929	2	1	0	0	6.35716
0.488929	2	1	0	1	6.76196
0.489929	2	1	0	0	9.38732
0.490929	2	1	0	0	9.36746
0.491929	2	1	0	0	9.36746
0.492929	2	1	0	0	9.36746
0.493929	2	1	0	0	9.36746
0.494929	2	1	0	0	9.38732
0.495929	2	1	0	0	9.36746
0.496929	2	1	0	0	9.36746
0.497929	2	1	0	0	9.36746
0.498929	2	1	0	0	9.36746
0.499929	2	1	0	0	6.35716
0.499929	2	1	0	1	6.76196
0.500929	2	1	0	0	9.36746
0.501929	2	1	0	0	9.36746
0.502929	2	1	0	0	9.36746
0.503929	2	1	0	0	9.36746
0.504929	2	1	0	0	9.36746
0.505929	2	1	0	0	6.35716
0.505929	2	1	0	1	6.76196
0.506929	2	1	0	0	6.35716
0.506929	2	1	0	1	6.76196
0.507929	2	1	0	0	6.35716
0.507929	2	1	0	1	6.76196
0.508929	2	1	0	0	6.35716
0.508929	2	1	0	1	6.76196
0.509929	2	1	0	0	9.36746
0.510929	2	1	0	0	9.36746
0.511929	2	1	0	0	9.36746
0.512929	2	1	0	0	9.36746
0.513929	2	1	0	0	9.36746
0.514929	2	1	0	0	9.36746
0.515929	2	1	0	0	9.36746
0.516929	2	1	0	0	7.15858
0.517929	2	1	0	0	7.15858
0.518929	2	1	0	0	7.15858
0.519929	2	1	0	0	4.14828
0.519929	2	1	0	1	-19.421
0.520929	2	1	0	0	7.15858
0.521929	2	1	0	0	7.15858
0.522929	2	1	0	0	7.15858
0.523929	2	1	0	0	7.15858
0.524929	2	1	0	0	7.15858
0.525929	2	1	0	0	4.14828
0.525929	2	1	0	1	-19.421
0.526929	2	1	0	0	4.14828
0.526929	2	1	0	1	-19.421
0.527929	2	1	0	0	4.14828
0.527929	2	1	0	1	-19.421
0.528929	2	1	0	0	4.14828
0.528929	2	1	0	1	-19.421
